player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Tom Kelly,1949,1949,,6-0,170,"March 5, 1924",NYU,Career,,,BAA,27,,,2.7,8.1,.335,,,,,,,,1.7,2.7,.616,,,,1.4,,,,2.7,7.1
Greg Kelser,1980,1985,,6-7,190,"September 17, 1957",Michigan State,Career,,,NBA,305,40,19.8,3.6,7.4,.486,0.0,0.1,.167,3.6,7.3,.491,.488,2.5,3.6,.686,2.0,2.6,4.6,1.3,0.8,0.5,2.2,3.0,9.7
Ben Kelso,1974,1974,,6-3,195,"April 11, 1949",Central Michigan University,Career,,,NBA,46,,6.5,0.8,2.1,.365,,,,,,,,0.3,0.5,.682,0.3,0.3,0.7,0.4,0.3,0.0,,1.0,1.8
Shawn Kemp,1990,2003,,6-10,230,"November 26, 1969",Trinity Valley CC,Career,,,NBA,1051,728,27.9,5.2,10.7,.488,0.0,0.1,.277,5.2,10.6,.490,.490,4.1,5.5,.741,2.9,5.5,8.4,1.6,1.1,1.2,2.6,3.6,14.6
Tim Kempton,1987,1998,,6-10,245,"January 25, 1964",Notre Dame,Career,,,NBA,280,20,13.4,1.6,3.4,.481,0.0,0.0,.000,1.6,3.4,.482,.481,1.2,1.8,.677,0.9,2.0,2.8,1.1,0.4,0.2,1.0,2.2,4.5
Frank Kendrick,1975,1975,,6-6,198,"September 11, 1950",Purdue,Career,,,NBA,24,,5.0,1.3,3.2,.403,,,,,,,,0.8,0.9,.818,0.8,0.7,1.5,0.3,0.5,0.1,,0.9,3.3
Luke Kennard,2018,2021,,6-5,206,"June 24, 1996",Duke,Career,,,NBA,227,61,22.3,3.4,7.7,.449,1.6,3.8,.413,1.9,3.8,.485,.553,0.9,1.1,.860,0.3,2.5,2.7,2.0,0.5,0.2,1.0,1.5,9.4
D.J. Kennedy,2012,2012,,6-6,215,"November 5, 1989",St. John's,Career,,,NBA,2,0,29.5,2.5,6.0,.417,1.0,2.0,.500,1.5,4.0,.375,.500,0.0,1.0,.000,0.5,3.0,3.5,1.5,1.0,0.0,1.5,3.5,6.0
Goo Kennedy,1972,1977,,6-5,205,"August 23, 1949",TCU,Career,,,TOT,333,,20.4,3.4,6.3,.548,0.0,0.0,1.000,3.4,6.3,.548,.548,1.4,2.0,.670,2.0,3.6,5.6,0.9,0.7,0.2,1.2,3.2,8.2
Joe Kennedy,1969,1971,,6-6,210,"January 12, 1947",Duke,Career,,,TOT,168,,16.1,2.2,5.8,.376,0.0,0.0,.000,2.2,5.8,.377,.376,1.4,1.7,.804,1.8,2.4,3.6,0.8,,,1.2,1.9,5.7
Pickles Kennedy,1961,1961,,5-11,180,"May 17, 1938",Temple,Career,,,NBA,7,,7.4,0.6,3.0,.190,,,,,,,,0.6,0.9,.667,,,1.1,1.3,,,,0.9,1.7
